Address,Latitude,Longitude,APC,LP,PDP,NNPP
"ETITI HALL II, AGUATA, ANAMBRA",6.0122865,7.0175879,1,98,0,0
"IHUAKABA HALL I, AGUATA, ANAMBRA",6.0085842,7.1009488,0,178,0,0
"IHUAKABA HALL II, AGUATA, ANAMBRA",6.0085842,7.1009488,1,188,2,2
"UDOAKWARI HALL I, AGUATA, ANAMBRA",6.0085842,7.1009488,0,90,1,0
"UDOAKWARI HALL II, AGUATA, ANAMBRA",6.0085842,7.1009488,0,88,1,0
"UMUEZULU HALL I, AGUATA, ANAMBRA",6.0085842,7.1009488,2,106,1,0
"UMUEZULU HALL II, AGUATA, ANAMBRA",6.0085842,7.1009488,0,88,0,1
"CENTRAL SCHOOL I, AGUATA, ANAMBRA",6.0085842,7.1009488,4,188,2,2
"CENTRAL SCHOOL II, AGUATA, ANAMBRA",6.0085842,7.1009488,1,188,2,2
"PRY. SCHOOL, EZIHU I, AGUATA, ANAMBRA",6.0085842,7.1009488,0,175,1,0
"PRY. SCHOOL, EZIHU II, AGUATA, ANAMBRA",6.0085842,7.1009488,0,125,1,4
"ST. STEPHEN, AGUATA, ANAMBRA",6.0085842,7.1009488,1,85,0,2
"UMUENEILI HALL, AGUATA, ANAMBRA",6.0085842,7.1009488,1,182,1,0
"COMMUNITY SCHOOL I, AGUATA, ANAMBRA",6.0085842,7.1009488,0,95,1,0
"COMMUNITY SCHOOL II, AGUATA, ANAMBRA",6.0085842,7.1009488,4,107,0,0
"EZI HALL I, AGUATA, ANAMBRA",6.0085842,7.1009488,1,131,4,0
"EZI HALL II, AGUATA, ANAMBRA",6.0085842,7.1009488,1,114,3,1
"ESISIAMA HALL I, AGUATA, ANAMBRA",6.0085842,7.1009488,0,82,1,0
"ESISIAMA HALL II, AGUATA, ANAMBRA",6.0085842,7.1009488,2,40,0,0
"IFITE HALL I, AGUATA, ANAMBRA",6.000187,7.0263285,0,111,1,0
"IFITE HALL II, AGUATA, ANAMBRA",6.000187,7.0263285,1,71,1,0
"AMORJI PRY. SCHOOL, AGUATA, ANAMBRA",6.0085842,7.1009488,1,213,8,0
"OFIYI SQUARE, AGUATA, ANAMBRA",6.0085842,7.1009488,0,0,0,0
"IHUOWELE HALL, AGUATA, ANAMBRA",6.0085842,7.1009488,0,191,3,0
"EMEAGAM HALL, AGUATA, ANAMBRA",6.0085842,7.1009488,2,62,2,0
"CENTRAL SCHOOL, AGUATA, ANAMBRA",6.0085842,7.1009488,1,324,0,0
"OZALA SCHOOL (VILL HALL), AGUATA, ANAMBRA",6.0085842,7.1009488,1,315,0,1
"OZALLA SCHOOL, AGUATA, ANAMBRA",6.0085842,7.1009488,0,0,0,0
"PRY. SCHOOL, ISUOFIA, AGUATA, ANAMBRA",6.0289009,7.0538774,3,122,2,1
"ISIAKU, AGUATA, ANAMBRA",6.0085842,7.1009488,1,245,1,0
"EZIOKA HALL, AGUATA, ANAMBRA",6.0674484,7.0333499,0,250,0,0
"IKEME PRY. SCHOL, AGUATA, ANAMBRA",6.0085842,7.1009488,2,159,6,1
"CATHECUMEN NURSERY SCHOOL, AGUATA, ANAMBRA",6.0085842,7.1009488,1,112,0,0
"COMMUNITY SCHOOL, AGUATA, ANAMBRA",6.0085842,7.1009488,2,133,2,0
"ISIAKU HALL, AGUATA, ANAMBRA",6.0085842,7.1009488,3,194,4,3
"CENTRAL SCHOOL, AGUATA, ANAMBRA",6.0085842,7.1009488,14,37,42,0
"COMMUNITY SCHOOL, AGUATA, ANAMBRA",6.0085842,7.1009488,12,25,24,1
"OBINABO HALL, AGUATA, ANAMBRA",6.0085842,7.1009488,0,112,7,1
"TOWN HALL, AGUATA, ANAMBRA",6.0085842,7.1009488,2,171,2,0
"ELUAMA HALL, AGUATA, ANAMBRA",6.0085842,7.1009488,2,112,5,1
"PRY. SCHOOL, NKPLOGWU, AGUATA, ANAMBRA",5.9811969,7.0861513,2,58,3,2
"LOCAL AUTHORITY PRY. SCHOOL, AGUATA, ANAMBRA",6.0085842,7.1009488,0,104,11,0
"UMUONYIA HALL, AGUATA, ANAMBRA",6.0085842,7.1009488,2,104,11,0
"ISIOJI HALL, AGUATA, ANAMBRA",6.0085842,7.1009488,1,66,8,0
"NGWUAGU SQUARE, AGUATA, ANAMBRA",6.0085842,7.1009488,0,49,2,2
"OGWUGWUNEZI HALL, AGUATA, ANAMBRA",6.0085842,7.1009488,0,80,4,2
"CENTRAL SCHOOL, NKPOLOGWU, AGUATA, ANAMBRA",5.9751075,7.0937161,0,67,0,0
"COMMUNITY SCHOOL NKPOLOGWU, AGUATA, ANAMBRA",5.9811969,7.0861513,0,81,5,0
"UDARA-EKE SQUARE, AGUATA, ANAMBRA",6.0120647,7.0881293,3,88,8,3
"UMUDIKE HALL I, AGUATA, ANAMBRA",6.0085842,7.1009488,0,70,1,0
"UMUDIKE HALL II, AGUATA, ANAMBRA",6.0085842,7.1009488,0,46,0,0
"UMUDIKE HALL III, AGUATA, ANAMBRA",6.0085842,7.1009488,0,47,1,0
"UMUDIKE HALL IV, AGUATA, ANAMBRA",6.0085842,7.1009488,1,43,1,0
"CENTRAL SCHOOL I, AGUATA, ANAMBRA",6.0085842,7.1009488,0,88,0,2
"CENTRAL SCHOOL II, AGUATA, ANAMBRA",6.0085842,7.1009488,1,64,0,2
"CENTRAL SCHOOL III, AGUATA, ANAMBRA",6.0085842,7.1009488,0,31,0,0
"CENTRAL SCHOOL III, AGUATA, ANAMBRA",6.0085842,7.1009488,0,54,0,0
"CENTRAL SCHOOL V, AGUATA, ANAMBRA",6.0085842,7.1009488,0,38,0,0
"CENTRAL SCHOOL VI, AGUATA, ANAMBRA",6.0085842,7.1009488,0,50,0,0
"OBIUNO HALL II, AGUATA, ANAMBRA",6.0085842,7.1009488,1,60,2,0
"OBIUNO HALL III, AGUATA, ANAMBRA",6.0085842,7.1009488,0,47,0,0
"OBIUNO HALL IV, AGUATA, ANAMBRA",6.0085842,7.1009488,0,49,0,0
"OBIUNO HALL V, AGUATA, ANAMBRA",6.0085842,7.1009488,0,40,0,0
"OBI NRI I, AGUATA, ANAMBRA",6.0085842,7.1009488,0,88,2,0
"OBI NRI II, AGUATA, ANAMBRA",6.0085842,7.1009488,1,55,0,1
"OBI NRI III, AGUATA, ANAMBRA",6.0085842,7.1009488,0,73,0,0
"OBI NRI IV, AGUATA, ANAMBRA",6.0085842,7.1009488,0,42,0,0
"OBI NRI V, AGUATA, ANAMBRA",6.0085842,7.1009488,1,29,0,0
"OBI NRI VI, AGUATA, ANAMBRA",6.0085842,7.1009488,1,61,0,0
"UMUDIKE HALL V, AGUATA, ANAMBRA",6.0085842,7.1009488,1,36,0,0
"UMOMUNYE HALL I, AGUATA, ANAMBRA",6.0085842,7.1009488,2,160,2,3
"UMOMUNYE HALL II, AGUATA, ANAMBRA",6.0085842,7.1009488,1,100,0,0
"UMOMUNYE HALL III, AGUATA, ANAMBRA",6.0085842,7.1009488,1,80,6,0
"UMOMUNYE HALL V, AGUATA, ANAMBRA",6.0085842,7.1009488,0,79,0,1
"NWAGWAZI PRY SCHOOL I, AGUATA, ANAMBRA",5.9353459,7.0794263,0,132,4,0
"NWAGWAZI PRY SCHOOL II, AGUATA, ANAMBRA",5.9353459,7.0794263,0,79,1,0
"NWAGWAZI PRY SCHOOL III, AGUATA, ANAMBRA",5.9353459,7.0794263,0,74,2,0
"EZINKWO PRY SCHOOL I, AGUATA, ANAMBRA",6.0085842,7.1009488,0,140,0,0
"EZINKWO PRY SCHOOL II, AGUATA, ANAMBRA",6.0085842,7.1009488,2,117,0,0
"OKWU HALL II, AGUATA, ANAMBRA",6.0085842,7.1009488,12,72,53,1
